x,y,species median
200.0,200.0,0.2763692
201.0,201.0,0.49195293
202.0,202.0,0.6065317
203.0,203.0,0.2848784
204.0,204.0,0.30198196
205.0,205.0,0.48152
206.0,206.0,0.5867212
207.0,207.0,0.61527985
208.0,208.0,0.33134246
209.0,209.0,0.082400694
210.0,210.0,0.39171556
211.0,211.0,0.09485256
212.0,212.0,0.19767264
213.0,213.0,0.16149403
214.0,214.0,0.16158889
215.0,215.0,0.2670579
216.0,216.0,0.4026177
217.0,217.0,0.52839
218.0,218.0,0.4696141
219.0,219.0,0.2551663
220.0,220.0,0.31048948
221.0,221.0,0.5213053
222.0,222.0,0.46299523
223.0,223.0,0.4558162
224.0,224.0,0.27536756
225.0,225.0,0.43461105
226.0,226.0,0.30459392
227.0,227.0,0.28934485
228.0,228.0,0.5825427
229.0,229.0,0.14045168
230.0,230.0,0.09671028
231.0,231.0,0.2935177
232.0,232.0,0.45677683
233.0,233.0,0.64694697
234.0,234.0,0.3819901
235.0,235.0,0.49337372
236.0,236.0,0.5692797
237.0,237.0,0.3706737
238.0,238.0,0.39523032
239.0,239.0,0.43121088
240.0,240.0,0.21988592
241.0,241.0,0.6500394
242.0,242.0,0.6415297
243.0,243.0,0.3176406
244.0,244.0,0.51033276
245.0,245.0,0.4044449
246.0,246.0,0.5735397
247.0,247.0,0.33688915
248.0,248.0,0.3865953
249.0,249.0,0.5915603
250.0,250.0,0.4368104
251.0,251.0,0.21608241
252.0,252.0,0.26428422
253.0,253.0,0.39609683
254.0,254.0,0.4606964
255.0,255.0,0.17932342
256.0,256.0,0.47665077
257.0,257.0,0.15821396
258.0,258.0,0.082998745
259.0,259.0,0.05480614
260.0,260.0,0.5325338
261.0,261.0,0.39704534
262.0,262.0,0.32960832
263.0,263.0,0.5938626
264.0,264.0,0.08205387
265.0,265.0,0.65904826
266.0,266.0,0.44110915
267.0,267.0,0.34763142
268.0,268.0,0.39523032
269.0,269.0,0.5896425
270.0,270.0,0.47830603
271.0,271.0,0.29551962
272.0,272.0,0.43825725
273.0,273.0,0.014589576
274.0,274.0,0.510604
275.0,275.0,0.27509233
276.0,276.0,0.6349605
277.0,277.0,0.27435604
278.0,278.0,0.29205066
279.0,279.0,0.395295
280.0,280.0,0.5907606
281.0,281.0,0.49266514
282.0,282.0,0.55378115
283.0,283.0,0.21556203
284.0,284.0,0.43566337
285.0,285.0,0.4353372
286.0,286.0,0.061504338
287.0,287.0,0.15512444
288.0,288.0,0.32960832
289.0,289.0,0.72500134
290.0,290.0,0.59102917
291.0,291.0,0.3913239
292.0,292.0,0.27435604
293.0,293.0,0.15793738
294.0,294.0,0.3162041
295.0,295.0,0.44534522
296.0,296.0,0.5924677
297.0,297.0,0.21556203
298.0,298.0,0.40843236
299.0,299.0,0.57906103
300.0,300.0,0.38346502
301.0,301.0,0.45573625
302.0,302.0,0.29818007
303.0,303.0,0.2436752
304.0,304.0,0.6121419
305.0,305.0,0.47621277
306.0,306.0,0.33283523
307.0,307.0,0.18230498
308.0,308.0,0.5186861
309.0,309.0,0.71914035
310.0,310.0,0.67057025
311.0,311.0,0.55172986
312.0,312.0,0.27985054
313.0,313.0,0.4380517
314.0,314.0,0.3155388
315.0,315.0,0.29931575
316.0,316.0,0.53290653
317.0,317.0,0.5529123
318.0,318.0,0.60041106
319.0,319.0,0.49501294
320.0,320.0,0.4363192
321.0,321.0,0.62736076
322.0,322.0,0.296575
323.0,323.0,0.40808195
324.0,324.0,0.43468317
325.0,325.0,0.43301082
326.0,326.0,0.59141105
327.0,327.0,0.53216517
328.0,328.0,0.36744934
329.0,329.0,0.2979337
330.0,330.0,0.33169
331.0,331.0,0.4351663
332.0,332.0,0.34935147
333.0,333.0,0.10215567
334.0,334.0,0.49260598
335.0,335.0,0.56458753
336.0,336.0,0.3386937
337.0,337.0,0.1441582
338.0,338.0,0.5455775
339.0,339.0,0.4563965
340.0,340.0,0.025160126
341.0,341.0,0.43553683
342.0,342.0,0.32088664
343.0,343.0,0.503228
344.0,344.0,0.5340923
345.0,345.0,0.48589122
346.0,346.0,0.31040534
347.0,347.0,0.070155956
348.0,348.0,0.2197718
349.0,349.0,0.4628538
350.0,350.0,0.26428422
351.0,351.0,0.5347846
352.0,352.0,0.53390807
353.0,353.0,0.22878315
354.0,354.0,0.48471457
355.0,355.0,0.5149226
356.0,356.0,0.33876508
357.0,357.0,0.4746004
358.0,358.0,0.20949617
359.0,359.0,0.55301243
360.0,360.0,0.55971384
361.0,361.0,0.6020559
362.0,362.0,0.024873937
363.0,363.0,0.6360635
364.0,364.0,0.20595136
365.0,365.0,0.56945443
366.0,366.0,0.14045168
367.0,367.0,0.5785683
368.0,368.0,0.08941541
369.0,369.0,0.2988206
370.0,370.0,0.40594688
371.0,371.0,0.16355751
372.0,372.0,0.55006313
373.0,373.0,0.6495737
374.0,374.0,0.48906985
375.0,375.0,0.29564148
376.0,376.0,0.48301244
377.0,377.0,0.49861178
378.0,378.0,0.54219997
379.0,379.0,0.6374576
380.0,380.0,0.64584553
381.0,381.0,0.2579588
382.0,382.0,0.5406724
383.0,383.0,0.45293686
384.0,384.0,0.60426694
385.0,385.0,0.4905387
386.0,386.0,0.2649682
387.0,387.0,0.5273018
388.0,388.0,0.052216668
389.0,389.0,0.35619184
390.0,390.0,0.6272683
391.0,391.0,0.44942573
392.0,392.0,0.45478314
393.0,393.0,0.42878416
394.0,394.0,0.46787316
395.0,395.0,0.6899344
396.0,396.0,0.32502407
397.0,397.0,0.0333649
398.0,398.0,0.26574546
399.0,399.0,0.26574546
400.0,400.0,0.66080505
401.0,401.0,0.467398
402.0,402.0,0.02514556
403.0,403.0,0.53763056
404.0,404.0,0.20794012
405.0,405.0,0.43231368
406.0,406.0,0.5735397
407.0,407.0,0.3387112
408.0,408.0,0.6096606
409.0,409.0,0.52839
410.0,410.0,0.5393645
411.0,411.0,0.34100458
412.0,412.0,0.35619184
413.0,413.0,0.5635161
414.0,414.0,0.38732103
415.0,415.0,0.29818007
416.0,416.0,0.15813164
417.0,417.0,0.14638682
418.0,418.0,0.46262798
419.0,419.0,0.56330484
420.0,420.0,0.12770766
421.0,421.0,0.37011158
422.0,422.0,0.588294
423.0,423.0,0.64515436
424.0,424.0,0.30300015
425.0,425.0,0.38659582
426.0,426.0,0.57907534
427.0,427.0,0.39523032
428.0,428.0,0.33169
429.0,429.0,0.59602183
430.0,430.0,0.18333131
431.0,431.0,0.32640234
432.0,432.0,0.46112975
433.0,433.0,0.4044449
434.0,434.0,0.54511094
435.0,435.0,0.49852237
436.0,436.0,0.61043274
437.0,437.0,0.21555111
438.0,438.0,0.102858044
439.0,439.0,0.5190032
440.0,440.0,0.58043915
441.0,441.0,0.5868511
442.0,442.0,0.32126153
443.0,443.0,0.25478396
444.0,444.0,0.60271853
445.0,445.0,0.67363364
446.0,446.0,0.46866304
447.0,447.0,0.38757467
448.0,448.0,0.5190727
449.0,449.0,0.18775666
450.0,450.0,0.05302184
451.0,451.0,0.29418728
452.0,452.0,0.4564866
453.0,453.0,0.33882087
454.0,454.0,0.28934485
455.0,455.0,0.6502388
456.0,456.0,0.49255386
457.0,457.0,0.6223267
458.0,458.0,0.069665104
459.0,459.0,0.4308354
460.0,460.0,0.65185827
461.0,461.0,0.61123294
462.0,462.0,0.062196717
463.0,463.0,0.537988
464.0,464.0,0.6616959
465.0,465.0,0.33134246
466.0,466.0,0.43711853
467.0,467.0,0.2802186
468.0,468.0,0.5205909
469.0,469.0,0.33176506
470.0,470.0,0.51612914
471.0,471.0,0.3326958
472.0,472.0,0.43753782
473.0,473.0,0.5914269
474.0,474.0,0.5316881
475.0,475.0,0.39523032
476.0,476.0,0.3067548
477.0,477.0,0.1903535
478.0,478.0,0.64180744
479.0,479.0,0.61791104
480.0,480.0,0.29516903
481.0,481.0,0.3866376
482.0,482.0,0.15572864
483.0,483.0,0.3317293
484.0,484.0,0.53082365
485.0,485.0,0.44945368
486.0,486.0,0.4231631
487.0,487.0,0.11838306
488.0,488.0,0.42761514
489.0,489.0,0.44630042
490.0,490.0,0.08934087
491.0,491.0,0.54920244
492.0,492.0,0.5903115
493.0,493.0,0.54982436
494.0,494.0,0.27718565
495.0,495.0,0.27791402
496.0,496.0,0.49762303
497.0,497.0,0.61687696
498.0,498.0,0.53415483
499.0,499.0,0.19083765
500.0,500.0,0.5729805
501.0,501.0,0.3177914
502.0,502.0,0.20534784
503.0,503.0,0.45738283
504.0,504.0,0.4163076
505.0,505.0,0.35382426
506.0,506.0,0.31107253
507.0,507.0,0.4380517
508.0,508.0,0.32960832
509.0,509.0,0.26996443
510.0,510.0,0.2915147
511.0,511.0,0.49367478
512.0,512.0,0.5900723
513.0,513.0,0.47728664
514.0,514.0,0.46215487
515.0,515.0,0.41293576
516.0,516.0,0.030769663
517.0,517.0,0.502144
518.0,518.0,0.46929955
519.0,519.0,0.39288536
520.0,520.0,0.46852642
521.0,521.0,0.43380585
522.0,522.0,0.38642848
523.0,523.0,0.45027703
524.0,524.0,0.43476287
525.0,525.0,0.62463933
526.0,526.0,0.031476896
527.0,527.0,0.3326958
528.0,528.0,0.418192
529.0,529.0,0.5388075
530.0,530.0,0.6581658
531.0,531.0,0.3605399
532.0,532.0,0.38231388
533.0,533.0,0.5747225
534.0,534.0,0.06857959
535.0,535.0,0.2735383
536.0,536.0,0.30976996
537.0,537.0,0.030616505
538.0,538.0,0.43476287
539.0,539.0,0.33295906
540.0,540.0,0.41696417
541.0,541.0,0.1466375
542.0,542.0,0.47051132
543.0,543.0,0.43793643
544.0,544.0,0.6621398
545.0,545.0,0.6288651
546.0,546.0,0.4608553
