x,y,species max
229.0,229.0,0.25257874
230.0,230.0,0.14511593
231.0,231.0,0.3890728
232.0,232.0,0.49503204
233.0,233.0,0.6773428
234.0,234.0,0.43748683
235.0,235.0,0.5296245
236.0,236.0,0.58824474
237.0,237.0,0.39928916
238.0,238.0,0.46411636
239.0,239.0,0.48421267
240.0,240.0,0.3378825
241.0,241.0,0.6800066
242.0,242.0,0.6736202
243.0,243.0,0.3938488
244.0,244.0,0.5167827
245.0,245.0,0.43071565
246.0,246.0,0.60343075
247.0,247.0,0.42563772
248.0,248.0,0.47934645
249.0,249.0,0.6037364
250.0,250.0,0.49035308
251.0,251.0,0.33307454
252.0,252.0,0.3655308
253.0,253.0,0.46684906
254.0,254.0,0.51990706
255.0,255.0,0.301601
256.0,256.0,0.5175506
257.0,257.0,0.18125898
258.0,258.0,0.18985732
259.0,259.0,0.16351491
260.0,260.0,0.5390864
261.0,261.0,0.46616557
262.0,262.0,0.41012576
263.0,263.0,0.62731874
264.0,264.0,0.12539122
265.0,265.0,0.69444996
266.0,266.0,0.49843165
267.0,267.0,0.43601277
268.0,268.0,0.46411636
269.0,269.0,0.64061725
270.0,270.0,0.50570226
271.0,271.0,0.39801547
272.0,272.0,0.47653323
273.0,273.0,0.016355308
274.0,274.0,0.54790354
275.0,275.0,0.30605114
276.0,276.0,0.645905
277.0,277.0,0.38182035
278.0,278.0,0.32450947
279.0,279.0,0.48323634
280.0,280.0,0.6206319
281.0,281.0,0.5458722
282.0,282.0,0.57267475
283.0,283.0,0.31912416
284.0,284.0,0.49089253
285.0,285.0,0.4847311
286.0,286.0,0.16778417
287.0,287.0,0.27037194
288.0,288.0,0.41012576
289.0,289.0,0.7609507
290.0,290.0,0.6059854
291.0,291.0,0.46303242
292.0,292.0,0.38182035
293.0,293.0,0.28013474
294.0,294.0,0.39331985
295.0,295.0,0.51072186
296.0,296.0,0.6059646
297.0,297.0,0.31912416
298.0,298.0,0.4740863
299.0,299.0,0.607194
300.0,300.0,0.438399
301.0,301.0,0.5159741
302.0,302.0,0.3940647
303.0,303.0,0.27949643
304.0,304.0,0.63104075
305.0,305.0,0.5161253
306.0,306.0,0.41065314
307.0,307.0,0.21196605
308.0,308.0,0.5565457
309.0,309.0,0.7512299
310.0,310.0,0.70025396
311.0,311.0,0.5661725
312.0,312.0,0.38767052
313.0,313.0,0.46834207
314.0,314.0,0.36845204
315.0,315.0,0.43376425
316.0,316.0,0.5392751
317.0,317.0,0.56332964
318.0,318.0,0.62098575
319.0,319.0,0.55957866
320.0,320.0,0.4859608
321.0,321.0,0.6813187
322.0,322.0,0.39783868
323.0,323.0,0.47390786
324.0,324.0,0.4791613
325.0,325.0,0.48815337
326.0,326.0,0.6036659
327.0,327.0,0.5620807
328.0,328.0,0.42308965
329.0,329.0,0.41753444
330.0,330.0,0.40868428
331.0,331.0,0.48433223
332.0,332.0,0.37630975
333.0,333.0,0.14003628
334.0,334.0,0.55560327
335.0,335.0,0.58588886
336.0,336.0,0.42379966
337.0,337.0,0.25561258
338.0,338.0,0.576199
339.0,339.0,0.49868065
340.0,340.0,0.106397256
341.0,341.0,0.49071717
342.0,342.0,0.41138542
343.0,343.0,0.54404783
344.0,344.0,0.5505373
345.0,345.0,0.5282919
346.0,346.0,0.38731498
347.0,347.0,0.19235277
348.0,348.0,0.33780405
349.0,349.0,0.50973976
350.0,350.0,0.3655308
351.0,351.0,0.5418923
352.0,352.0,0.54794616
353.0,353.0,0.34393856
354.0,354.0,0.52359444
355.0,355.0,0.5862615
356.0,356.0,0.43035376
357.0,357.0,0.51210785
358.0,358.0,0.26978183
359.0,359.0,0.56647146
360.0,360.0,0.5712109
361.0,361.0,0.6209873
362.0,362.0,0.10402179
363.0,363.0,0.66168535
364.0,364.0,0.26527348
365.0,365.0,0.5976864
366.0,366.0,0.25257874
367.0,367.0,0.5916468
368.0,368.0,0.2207247
369.0,369.0,0.39474872
370.0,370.0,0.43214682
371.0,371.0,0.18925768
372.0,372.0,0.56209576
373.0,373.0,0.6603213
374.0,374.0,0.50966734
375.0,375.0,0.39134952
376.0,376.0,0.53444237
377.0,377.0,0.51916
378.0,378.0,0.5514662
379.0,379.0,0.6659843
380.0,380.0,0.67908245
381.0,381.0,0.37208876
382.0,382.0,0.5539593
383.0,383.0,0.5068393
384.0,384.0,0.62400615
385.0,385.0,0.51012695
386.0,386.0,0.3776448
387.0,387.0,0.52865255
388.0,388.0,0.16009268
389.0,389.0,0.43849245
390.0,390.0,0.6930051
391.0,391.0,0.5131697
392.0,392.0,0.5000061
393.0,393.0,0.4675485
394.0,394.0,0.5188722
395.0,395.0,0.7174029
396.0,396.0,0.3978445
397.0,397.0,0.12382199
398.0,398.0,0.37594768
399.0,399.0,0.37594768
400.0,400.0,0.6722417
401.0,401.0,0.51263356
402.0,402.0,0.10627585
403.0,403.0,0.5730068
404.0,404.0,0.3312475
405.0,405.0,0.47536463
406.0,406.0,0.60343075
407.0,407.0,0.4302183
408.0,408.0,0.6410368
409.0,409.0,0.5346679
410.0,410.0,0.5514897
411.0,411.0,0.41624403
412.0,412.0,0.43849245
413.0,413.0,0.58113116
414.0,414.0,0.4569334
415.0,415.0,0.3940647
416.0,416.0,0.18401171
417.0,417.0,0.26868123
418.0,418.0,0.5041694
419.0,419.0,0.5779745
420.0,420.0,0.16207008
421.0,421.0,0.44009316
422.0,422.0,0.60433614
423.0,423.0,0.64905876
424.0,424.0,0.38784346
425.0,425.0,0.44033226
426.0,426.0,0.621397
427.0,427.0,0.46411636
428.0,428.0,0.40868428
429.0,429.0,0.6075303
430.0,430.0,0.30115312
431.0,431.0,0.41714042
432.0,432.0,0.52016544
433.0,433.0,0.43071565
434.0,434.0,0.5576995
435.0,435.0,0.51394325
436.0,436.0,0.6298117
437.0,437.0,0.31909192
438.0,438.0,0.2096957
439.0,439.0,0.5564056
440.0,440.0,0.6097506
441.0,441.0,0.59563357
442.0,442.0,0.3978561
443.0,443.0,0.29228935
444.0,444.0,0.6281049
445.0,445.0,0.7092705
446.0,446.0,0.51343834
447.0,447.0,0.41475543
448.0,448.0,0.5670717
449.0,449.0,0.28910157
450.0,450.0,0.16116732
451.0,451.0,0.3986064
452.0,452.0,0.5067933
453.0,453.0,0.42093435
454.0,454.0,0.3795894
455.0,455.0,0.68102294
456.0,456.0,0.5646487
457.0,457.0,0.6613037
458.0,458.0,0.18967316
459.0,459.0,0.4729949
460.0,460.0,0.6648654
461.0,461.0,0.62737525
462.0,462.0,0.15679246
463.0,463.0,0.55881673
464.0,464.0,0.68670475
465.0,465.0,0.44059893
466.0,466.0,0.50788975
467.0,467.0,0.3119785
468.0,468.0,0.59504676
469.0,469.0,0.41128957
470.0,470.0,0.5252292
471.0,471.0,0.42274344
472.0,472.0,0.486613
473.0,473.0,0.6017044
474.0,474.0,0.53696734
475.0,475.0,0.46411636
476.0,476.0,0.33715805
477.0,477.0,0.30630547
478.0,478.0,0.69338214
479.0,479.0,0.62425935
480.0,480.0,0.38325956
481.0,481.0,0.46722138
482.0,482.0,0.29881716
483.0,483.0,0.40875182
