x,y,species avg
229.0,229.0,0.1617479
230.0,230.0,0.0881562
231.0,231.0,0.31934217
232.0,232.0,0.457186
233.0,233.0,0.6523273
234.0,234.0,0.388937
235.0,235.0,0.4784481
236.0,236.0,0.5603904
237.0,237.0,0.34208354
238.0,238.0,0.39406344
239.0,239.0,0.43790638
240.0,240.0,0.25462082
241.0,241.0,0.6494679
242.0,242.0,0.64820164
243.0,243.0,0.3066707
244.0,244.0,0.48861328
245.0,245.0,0.3780524
246.0,246.0,0.57300144
247.0,247.0,0.3440472
248.0,248.0,0.4142492
249.0,249.0,0.59233814
250.0,250.0,0.4437488
251.0,251.0,0.2507066
252.0,252.0,0.2856894
253.0,253.0,0.39945176
254.0,254.0,0.47761866
255.0,255.0,0.20426461
256.0,256.0,0.4577087
257.0,257.0,0.12724406
258.0,258.0,0.10520226
259.0,259.0,0.079930276
260.0,260.0,0.5273322
261.0,261.0,0.41520983
262.0,262.0,0.34405822
263.0,263.0,0.5959416
264.0,264.0,0.07404834
265.0,265.0,0.66274035
266.0,266.0,0.45590085
267.0,267.0,0.31982818
268.0,268.0,0.39406344
269.0,269.0,0.59965897
270.0,270.0,0.46819177
271.0,271.0,0.31137934
272.0,272.0,0.4046885
273.0,273.0,0.010628376
274.0,274.0,0.49210384
275.0,275.0,0.22843263
276.0,276.0,0.6299302
277.0,277.0,0.28703743
278.0,278.0,0.26156613
279.0,279.0,0.42039505
280.0,280.0,0.5925999
281.0,281.0,0.49621725
282.0,282.0,0.53996354
283.0,283.0,0.22642723
284.0,284.0,0.44379315
285.0,285.0,0.42679748
286.0,286.0,0.07833987
287.0,287.0,0.17045791
288.0,288.0,0.34405822
289.0,289.0,0.7175037
290.0,290.0,0.5914707
291.0,291.0,0.38525915
292.0,292.0,0.28703743
293.0,293.0,0.17703897
294.0,294.0,0.3204278
295.0,295.0,0.46269023
296.0,296.0,0.5789816
297.0,297.0,0.22642723
298.0,298.0,0.41635177
299.0,299.0,0.570788
300.0,300.0,0.390357
301.0,301.0,0.44007957
302.0,302.0,0.32394338
303.0,303.0,0.21046966
304.0,304.0,0.61309063
305.0,305.0,0.4536146
306.0,306.0,0.34766626
307.0,307.0,0.1507594
308.0,308.0,0.5005482
309.0,309.0,0.71194375
310.0,310.0,0.6715138
311.0,311.0,0.5366071
312.0,312.0,0.30408508
313.0,313.0,0.4325247
314.0,314.0,0.2856434
315.0,315.0,0.3260686
316.0,316.0,0.51906097
317.0,317.0,0.55224603
318.0,318.0,0.60407895
319.0,319.0,0.49971938
320.0,320.0,0.41158378
321.0,321.0,0.6317087
322.0,322.0,0.32089186
323.0,323.0,0.41617128
324.0,324.0,0.4360104
325.0,325.0,0.4419294
326.0,326.0,0.57814014
327.0,327.0,0.52205527
328.0,328.0,0.36373284
329.0,329.0,0.33678582
330.0,330.0,0.34576437
331.0,331.0,0.4264208
332.0,332.0,0.2929363
333.0,333.0,0.090169415
334.0,334.0,0.49126756
335.0,335.0,0.5651391
336.0,336.0,0.35304785
337.0,337.0,0.1639061
338.0,338.0,0.53414387
339.0,339.0,0.4467557
340.0,340.0,0.049535133
341.0,341.0,0.4435128
342.0,342.0,0.33600923
343.0,343.0,0.4883429
344.0,344.0,0.5325859
345.0,345.0,0.48947644
346.0,346.0,0.3148673
347.0,347.0,0.090257995
348.0,348.0,0.25455678
349.0,349.0,0.44532502
350.0,350.0,0.2856894
351.0,351.0,0.52046996
352.0,352.0,0.52885586
353.0,353.0,0.25958258
354.0,354.0,0.48826265
355.0,355.0,0.51926035
356.0,356.0,0.3482368
357.0,357.0,0.47268173
358.0,358.0,0.18689674
359.0,359.0,0.54444855
360.0,360.0,0.5522253
361.0,361.0,0.60444564
362.0,362.0,0.04833146
363.0,363.0,0.64193165
364.0,364.0,0.18331549
365.0,365.0,0.5705284
366.0,366.0,0.1617479
367.0,367.0,0.5765661
368.0,368.0,0.12740457
369.0,369.0,0.3245761
370.0,370.0,0.37949136
371.0,371.0,0.13543734
372.0,372.0,0.5494698
373.0,373.0,0.64132476
374.0,374.0,0.47686198
375.0,375.0,0.32143712
376.0,376.0,0.46459386
377.0,377.0,0.4922693
378.0,378.0,0.53527737
379.0,379.0,0.6441849
380.0,380.0,0.64730096
381.0,381.0,0.27830628
382.0,382.0,0.52660644
383.0,383.0,0.46951628
384.0,384.0,0.5992019
385.0,385.0,0.47761214
386.0,386.0,0.28966013
387.0,387.0,0.51361233
388.0,388.0,0.078023404
389.0,389.0,0.3614042
390.0,390.0,0.6287233
391.0,391.0,0.46665648
392.0,392.0,0.47036994
393.0,393.0,0.4232879
394.0,394.0,0.4768716
395.0,395.0,0.68700933
396.0,396.0,0.31042713
397.0,397.0,0.05294169
398.0,398.0,0.2776237
399.0,399.0,0.2776237
400.0,400.0,0.6545561
401.0,401.0,0.44990262
402.0,402.0,0.049473435
403.0,403.0,0.5276927
