X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
3.0,3.0,train,1.2931998731608747E-4,7.718191870596576,0.11601505173613322
4.0,4.0,train,0.005357458990631302,93.2528242279007,0.8446491361788626
5.0,5.0,train,0.009446815787467835,99.9999977706748,0.9055458225560616
6.0,6.0,train,0.0050687598491144055,92.71708116098432,0.8372410172439688
7.0,7.0,train,9.229613675286762E-4,42.7962432913988,0.4836501878991444
8.0,8.0,train,0.0020828750750821238,67.8673255741338,0.6788505729764811
9.0,9.0,train,0.00328227535138349,83.40766131473184,0.7691081564723932
10.0,10.0,train,1.619639055998263E-4,9.550964713361951,0.14116632813983895
11.0,11.0,train,0.0021011430883208417,68.70588915029111,0.6807513507806381
12.0,12.0,train,0.005432957181538972,93.79610297738587,0.8464765161026537
14.0,14.0,train,8.22489723837886E-4,38.78357512070701,0.45495397946720856
16.0,16.0,train,0.0025164168865841672,74.15643840480843,0.7186108419635939
17.0,17.0,train,4.580650772555759E-4,24.920085864557862,0.3173453054722022
18.0,18.0,train,0.006412617229192761,96.13012859154892,0.8668065010299701
19.0,19.0,train,0.0012392165068900213,52.052671998211224,0.5570565517157836
20.0,20.0,train,8.642359423809573E-4,40.27974465874983,0.4672558961605535
21.0,21.0,train,0.001855883830746077,64.12992597888604,0.6531934878346125
22.0,22.0,train,0.004002941586152459,87.30624759148121,0.8024653738524619
24.0,24.0,train,1.13346232429144E-4,6.3213928881418004,0.10316309749035804
25.0,25.0,train,0.007633567879673712,98.28913562617718,0.8856745827286201
26.0,26.0,train,0.0031148041458947187,80.82734378231893,0.7596773856307626
27.0,27.0,train,0.0017861581921242307,62.84480535654119,0.6444685656165604
29.0,29.0,train,1.2473268246570562E-4,7.357793642799701,0.11236211528736266
30.0,30.0,train,0.003215949369406908,82.10415532246192,0.7654630743066458
31.0,31.0,train,8.869039017498514E-4,41.06944647686336,0.4737059501783627
32.0,32.0,train,2.2204159595903174E-4,12.667851259399468,0.1838999320115879
33.0,33.0,train,0.0012289198676538836,51.805637359329445,0.5549968197548465
34.0,34.0,train,0.006527028737205342,96.78282847682463,0.8688349987317899
35.0,35.0,train,7.786889556903602E-4,36.60270117376865,0.44142068397897877
36.0,36.0,train,0.004682873822613793,91.72231569974369,0.826160601810692
37.0,37.0,train,0.003464535390707348,85.09484294515048,0.7785650820428428
38.0,38.0,train,0.0021805504619302196,70.63062478362714,0.6887587389325206
39.0,39.0,train,6.653180529844547E-4,32.23327893122479,0.4030567330272482
40.0,40.0,train,0.0030542738061279284,80.20918637227942,0.7560763663482993
41.0,41.0,train,0.003467564119610836,85.78865032248441,0.7787156945142526
42.0,42.0,train,0.004451120714709463,89.88897277908434,0.818749962137187
43.0,43.0,train,0.0019910917746850344,66.6374844506936,0.6689474640680237
44.0,44.0,train,0.00337020855653333,84.40597099861564,0.7737695563068246
45.0,45.0,train,0.002310229395531343,71.94665196217944,0.7010058349904588
47.0,47.0,train,3.373430263721062E-5,2.0472151406081682,0.03310214582712854
48.0,48.0,train,0.0013629909117296541,54.82162387567353,0.580402719796174
49.0,49.0,train,0.001445861616469678,56.682103278384474,0.5947051105310035
50.0,50.0,train,0.005991123618431423,95.48887658900965,0.8587594405152339
51.0,51.0,train,0.0031847912863574935,81.46210909849195,0.763710688000098
52.0,52.0,train,0.00252946967077756,74.66215913967879,0.7196558169175972
53.0,53.0,train,0.002842583674298681,79.29549902409974,0.7425870906219549
54.0,54.0,train,0.001841519589823781,63.39004131646918,0.6514312595155988
55.0,55.0,train,0.001964427468360053,66.09525387526729,0.6659549509508358
56.0,56.0,train,0.002097492531629359,68.28586543434848,0.6803733131669694
57.0,57.0,train,0.0027245126173332662,76.51145828803652,0.7343946284935153
58.0,58.0,train,0.0027877150923583146,78.17022742066086,0.7388437591780779
59.0,59.0,train,1.428313986735132E-4,8.50952247377689,0.1266017784976554
60.0,60.0,train,0.0032524515315456456,82.75283295768926,0.7674832441662942
61.0,61.0,train,0.0027410704388381854,76.7855477008234,0.7355748042778296
62.0,62.0,train,5.18330388841581E-4,27.38428302440269,0.3447048737296843
64.0,64.0,train,1.0640851282730229E-4,5.833118061798188,0.09746409936995407
66.0,66.0,train,0.003052767019189945,79.90363172463303,0.7559853487345173
67.0,67.0,train,0.002659747881456328,75.97175511112286,0.7296754682294772
68.0,68.0,train,0.0019269030095897157,65.30559654238974,0.6616507904570457
69.0,69.0,train,6.804808892314734E-4,32.81955044041015,0.4084902276461024
71.0,71.0,train,0.0010992277529444613,48.161773918058266,0.5273110941494679
72.0,72.0,train,0.0010917802348511055,47.70391569954959,0.525616285929225
73.0,73.0,train,8.619620155131383E-4,40.16773354167579,0.46660012567185877
74.0,74.0,train,0.00450118530290165,90.33904265809618,0.8204038633239822
75.0,75.0,train,0.0020396140328262933,67.06406354373685,0.6742577250109741
76.0,76.0,train,0.003267366954910888,83.07946942885555,0.768298740567413
78.0,78.0,train,0.0012319327876188742,51.877922894274775,0.5556015018468787
80.0,80.0,train,0.0021481480483676856,69.98581007999854,0.6855403144947935
