Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,Forest_Productivity contribution,Forest_Type contribution,bio10_16 contribution,bio12_16 contribution,bio15_16 contribution,moose2015 contribution,red_deer2015 contribution,roe_deer2015 contribution,Forest_Productivity permutation importance,Forest_Type permutation importance,bio10_16 permutation importance,bio12_16 permutation importance,bio15_16 permutation importance,moose2015 permutation importance,red_deer2015 permutation importance,roe_deer2015 permutation importance,Training gain without Forest_Productivity,Training gain without Forest_Type,Training gain without bio10_16,Training gain without bio12_16,Training gain without bio15_16,Training gain without moose2015,Training gain without red_deer2015,Training gain without roe_deer2015,Training gain with only Forest_Productivity,Training gain with only Forest_Type,Training gain with only bio10_16,Training gain with only bio12_16,Training gain with only bio15_16,Training gain with only moose2015,Training gain with only red_deer2015,Training gain with only roe_deer2015,Test gain without Forest_Productivity,Test gain without Forest_Type,Test gain without bio10_16,Test gain without bio12_16,Test gain without bio15_16,Test gain without moose2015,Test gain without red_deer2015,Test gain without roe_deer2015,Test gain with only Forest_Productivity,Test gain with only Forest_Type,Test gain with only bio10_16,Test gain with only bio12_16,Test gain with only bio15_16,Test gain with only moose2015,Test gain with only red_deer2015,Test gain with only roe_deer2015,AUC without Forest_Productivity,AUC without Forest_Type,AUC without bio10_16,AUC without bio12_16,AUC without bio15_16,AUC without moose2015,AUC without red_deer2015,AUC without roe_deer2015,AUC with only Forest_Productivity,AUC with only Forest_Type,AUC with only bio10_16,AUC with only bio12_16,AUC with only bio15_16,AUC with only moose2015,AUC with only red_deer2015,AUC with only roe_deer2015,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,14,2.2883,2.9389,120,0.9875,4,2.8933,0.9841,0.0074,4104,0.0000,3.1415,9.4334,12.2390,1.5638,72.4881,0.0000,1.1342,0.0000,0.4285,10.1175,0.0000,0.9276,87.2071,0.0000,1.3193,2.2883,2.2715,2.0534,2.2883,2.2378,1.3742,2.2883,2.2425,0.0443,0.0000,0.0114,1.0675,0.0931,1.7722,0.1557,0.1113,2.8933,2.7951,2.5650,2.8933,2.8700,1.7980,2.8933,2.7811,0.0774,0.0000,0.0406,1.1689,0.1029,2.0276,0.7729,0.1827,0.9841,0.9812,0.9712,0.9841,0.9832,0.9641,0.9841,0.9820,0.5980,0.5000,0.5900,0.9358,0.7545,0.9573,0.9311,0.7665,6.0315,0.0488,1.0000,0.0234,0.2018,0.0000,0.0000,1.657E-3,5.0000,0.0925,0.1301,0.0000,0.0000,2.866E-4,10.0000,0.1672,0.0945,0.0000,0.0000,7.989E-5,43.8779,0.5412,0.0278,0.0000,0.2500,8.395E-5,48.7403,0.5769,0.0236,0.0714,0.2500,5.188E-5,43.8779,0.5412,0.0278,0.0000,0.2500,8.395E-5,43.8779,0.5412,0.0278,0.0000,0.2500,8.395E-5,31.3500,0.4334,0.0409,0.0000,0.0000,2.808E-6,31.3500,0.4334,0.0409,0.0000,0.0000,2.808E-6,1.6764,0.0390,0.1803,0.0000,0.0000,1.057E-3,8.7683,0.1499,0.1014,0.0000,0.0000,1.056E-4
species_1,14,2.2180,2.8325,100,0.9857,4,3.0220,0.9895,0.0026,4105,0.0000,3.4449,7.5933,11.6016,2.7911,73.8547,0.0000,0.7144,0.0000,0.6259,9.3868,0.0000,1.1857,87.8773,0.0000,0.9243,2.2180,2.1980,2.0170,2.2180,2.1533,1.2423,2.2180,2.1886,0.0442,0.0000,0.0085,0.9783,0.0910,1.7294,0.0953,0.0805,3.0220,2.9177,2.7131,3.0220,2.9841,2.1956,3.0220,2.9351,0.0773,0.0000,0.0392,1.5071,0.1309,2.0606,0.5137,0.2027,0.9895,0.9878,0.9810,0.9895,0.9900,0.9757,0.9895,0.9884,0.5979,0.5000,0.5959,0.9527,0.7748,0.9764,0.9426,0.9185,6.1019,0.0525,1.0000,0.0260,0.2083,0.0000,0.0000,1.882E-3,5.0000,0.1017,0.1367,0.0000,0.0000,3.488E-4,10.0000,0.1691,0.1006,0.0000,0.0000,1.025E-4,34.2789,0.4663,0.0404,0.0000,0.0000,2.674E-6,47.6460,0.5646,0.0268,0.0714,0.0000,5.156E-7,34.4771,0.4697,0.0402,0.0714,0.0000,2.61E-6,34.2789,0.4663,0.0404,0.0000,0.0000,2.674E-6,62.7936,0.6465,0.0163,0.3571,0.0000,7.097E-8,62.7936,0.6465,0.0163,0.3571,0.0000,7.097E-8,1.7653,0.0417,0.1842,0.0000,0.0000,1.15E-3,8.6331,0.1497,0.1086,0.0000,0.0000,1.393E-4
species_2,14,2.3316,2.9379,100,0.9870,4,2.9601,0.9857,0.0057,4104,0.0000,2.8524,11.8545,8.4451,1.9766,73.5053,0.0000,1.3662,0.0000,0.2665,11.7264,0.0000,1.0026,85.8623,0.0000,1.1422,2.3316,2.3216,2.0181,2.3316,2.2749,1.3013,2.3316,2.2807,0.0000,0.0000,0.0233,0.9489,0.0907,1.7311,0.0000,0.0806,2.9601,2.8752,2.7408,2.9601,2.9280,2.7171,2.9601,2.8715,0.0000,0.0000,0.0382,2.0287,0.1294,2.0627,0.0000,0.2028,0.9857,0.9834,0.9851,0.9857,0.9848,0.9890,0.9857,0.9840,0.5000,0.5000,0.5715,0.9770,0.7730,0.9765,0.5000,0.9186,5.9881,0.0467,1.0000,0.0221,0.1983,0.0000,0.0000,1.548E-3,5.0000,0.0877,0.1243,0.0000,0.0000,2.385E-4,10.0000,0.1671,0.0894,0.0000,0.0000,6.395E-5,29.1348,0.4105,0.0422,0.0000,0.0000,3.158E-6,50.2333,0.5728,0.0219,0.0714,0.2500,4.149E-5,29.1348,0.4105,0.0422,0.0714,0.0000,3.158E-6,29.1348,0.4105,0.0422,0.0000,0.0000,3.158E-6,39.1839,0.5055,0.0307,0.0714,0.0000,8.885E-7,39.1839,0.5055,0.0307,0.0714,0.0000,8.885E-7,1.7407,0.0372,0.1747,0.0000,0.0000,9.316E-4,8.5905,0.1449,0.0970,0.0000,0.0000,8.845E-5
species_3,15,2.2905,2.9134,120,0.9865,3,3.0603,0.9885,0.0054,4106,0.0000,5.2762,6.3706,11.3571,0.9554,74.8156,0.0000,1.2251,0.0000,0.0000,5.1756,0.0000,0.9951,91.1056,0.0000,2.7236,2.2905,2.2555,2.0943,2.2905,2.2445,1.3782,2.2905,2.2435,0.0329,0.0000,0.0087,1.0706,0.0921,1.8168,0.2135,0.1281,3.0603,2.9555,2.5835,3.0603,3.0299,2.0102,3.0603,2.9298,0.1297,0.0011,0.0556,1.2127,0.1121,1.9571,0.9885,0.1672,0.9885,0.9868,0.9730,0.9885,0.9880,0.9703,0.9885,0.9860,0.6081,0.5981,0.6315,0.9386,0.7639,0.9506,0.9317,0.7157,6.0297,0.0487,1.0000,0.0241,0.2019,0.0000,0.0000,8.23E-3,5.0000,0.0930,0.1313,0.0000,0.0000,2.262E-3,10.0000,0.1662,0.0960,0.0000,0.0000,8.836E-4,33.2324,0.4444,0.0380,0.0000,0.0000,5.484E-5,45.5563,0.5592,0.0258,0.0667,0.0000,1.721E-5,33.2324,0.4444,0.0380,0.0667,0.0000,5.484E-5,33.2324,0.4444,0.0380,0.0000,0.0000,5.484E-5,48.4236,0.5837,0.0236,0.2000,0.0000,1.318E-5,48.4236,0.5837,0.0236,0.2000,0.0000,1.318E-5,1.6497,0.0389,0.1817,0.0000,0.0000,5.997E-3,9.0738,0.1503,0.1011,0.0000,0.0000,1.032E-3
species_4,15,2.5352,3.1099,140,0.9876,3,2.2166,0.9627,0.0163,4105,0.0000,13.4964,2.0530,8.9906,1.0877,73.2806,0.0000,1.0918,0.0000,1.2444,1.5180,0.0000,0.8885,94.6133,0.0000,1.7358,2.5352,2.2624,2.4388,2.5352,2.4875,1.5722,2.5352,2.4994,0.0319,0.1192,0.0086,1.0442,0.0939,1.8190,0.1633,0.1282,2.2166,2.9753,1.6462,2.2166,2.1599,1.3044,2.2166,2.0715,0.1584,-0.4678,0.0576,1.3019,0.1057,1.9594,1.0959,0.1673,0.9627,0.9869,0.9392,0.9627,0.9605,0.9393,0.9627,0.9579,0.6813,0.4314,0.6354,0.9441,0.7498,0.9508,0.9431,0.7158,5.7847,0.0376,1.0000,0.0192,0.1761,0.0000,0.0000,5.464E-3,5.0000,0.0796,0.1038,0.0000,0.0000,1.118E-3,10.0000,0.1449,0.0711,0.0000,0.3333,1.446E-2,26.8275,0.4525,0.0341,0.0000,0.3333,3.41E-3,37.5299,0.5544,0.0261,0.0667,0.6667,7.618E-2,27.0848,0.4556,0.0339,0.0667,0.3333,3.362E-3,26.8275,0.4525,0.0341,0.0000,0.3333,3.41E-3,9.0081,0.1319,0.0758,0.0000,0.0000,4.349E-4,9.0081,0.1319,0.0758,0.0000,0.0000,4.349E-4,1.7914,0.0303,0.1508,0.0000,0.0000,3.429E-3,8.4285,0.1223,0.0792,0.0000,0.0000,4.963E-4
species (average),14.4000,2.3327,2.9465,116.0000,0.9869,3.6000,2.8305,0.9821,0.0075,4104.8000,0.0000,5.6423,7.4610,10.5267,1.6749,73.5889,0.0000,1.1063,0.0000,0.5131,7.5849,0.0000,0.9999,89.3331,0.0000,1.5690,2.3327,2.2618,2.1243,2.3327,2.2796,1.3736,2.3327,2.2909,0.0307,0.0238,0.0121,1.0219,0.0922,1.7737,0.1256,0.1057,2.8305,2.9038,2.4497,2.8305,2.7944,2.0051,2.8305,2.7178,0.0886,-0.0933,0.0462,1.4439,0.1162,2.0135,0.6742,0.1845,0.9821,0.9852,0.9699,0.9821,0.9813,0.9677,0.9821,0.9797,0.5971,0.5059,0.6049,0.9496,0.7632,0.9623,0.8497,0.8070,5.9872,0.0469,1.0000,0.0230,0.1973,0.0000,0.0000,0.0038,5.0000,0.0909,0.1252,0.0000,0.0000,0.0009,10.0000,0.1629,0.0903,0.0000,0.0667,0.0031,33.4703,0.4630,0.0365,0.0000,0.1167,0.0007,45.9412,0.5656,0.0248,0.0695,0.2333,0.0153,33.5614,0.4643,0.0364,0.0552,0.1167,0.0007,33.4703,0.4630,0.0365,0.0000,0.1167,0.0007,38.1518,0.4602,0.0375,0.1257,0.0000,0.0001,38.1518,0.4602,0.0375,0.1257,0.0000,0.0001,1.7247,0.0374,0.1743,0.0000,0.0000,0.0025,8.6988,0.1434,0.0975,0.0000,0.0000,0.0004
