X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.005524573379574374,80.18852934485734,0.6358805140080777
3.0,3.0,train,0.004565379559678223,52.49446840620814,0.5906913783203489
4.0,4.0,train,0.005074632552605168,65.9479562469851,0.6159934435752593
5.0,5.0,train,0.0036848660315314864,31.52321079250963,0.5380653883168538
6.0,6.0,train,0.00467879682875931,56.19005197515127,0.5966109063313555
7.0,7.0,train,0.005145241570711547,69.52604120804867,0.6192567948324104
8.0,8.0,train,0.004681847503032223,56.65789506446404,0.5967677648408941
10.0,10.0,train,0.0049474369085712525,63.152821470981756,0.6099714522827617
11.0,11.0,train,0.005164989514027482,70.55763221695783,0.620159587559151
12.0,12.0,train,0.0058650509291883176,85.29773462896375,0.6496119068025143
13.0,13.0,train,0.004630242714312816,55.25799500145066,0.5940978373819604
14.0,14.0,train,0.006380658269940826,91.9770179356469,0.6685410530635228
16.0,16.0,train,0.00356248664527998,28.986406702467587,0.5296604777261219
17.0,17.0,train,0.005400226540964917,77.44985578381916,0.6305934309561753
18.0,18.0,train,0.004891673913452871,61.45025036984637,0.6072714269614625
19.0,19.0,train,0.006348891626539216,91.33901952226755,0.6674341449240817
20.0,20.0,train,0.004056326637919529,40.09722173008327,0.5618319742310496
21.0,21.0,train,0.003592951499559957,29.70380531879947,0.5317812412123257
22.0,22.0,train,0.004249750229998711,46.75249853118444,0.5732644887346787
24.0,24.0,train,0.0033522060077776097,25.166777832357475,0.5144812522453786
25.0,25.0,train,0.00415905095468485,44.217948986679104,0.5679788132437756
26.0,26.0,train,0.003817483327301587,33.03527878381998,0.5468407370220794
28.0,28.0,train,0.0038288739891451182,33.79899672996051,0.5475789394742683
29.0,29.0,train,0.003086549785082606,20.955318150790653,0.49384442783045146
31.0,31.0,train,0.00315148692874415,21.891945341238863,0.49904924037563947
33.0,33.0,train,0.0048586028608234725,60.47496486663068,0.6056524056590411
34.0,34.0,train,0.005075373289094008,66.45394977305754,0.6160279686652009
36.0,36.0,train,0.003515454555022242,27.92604594435825,0.5263484223318566
38.0,38.0,train,0.003378592564622358,25.841151451984185,0.5164395213655877
39.0,39.0,train,0.005013303309998457,63.92313805094086,0.6131132415203657
40.0,40.0,train,0.004031834637560345,39.2873534579143,0.5603405051806568
41.0,41.0,train,0.007344869206216966,97.5205271337969,0.6989545727744201
43.0,43.0,train,0.004282570532689471,47.60892925320792,0.5751454268769671
44.0,44.0,train,0.007181796575070044,96.06461149554269,0.6942091995182712
45.0,45.0,train,0.003880597279572096,35.73143483148892,0.5509009723237247
46.0,46.0,train,0.001659384809127696,15.06503086418024,0.34406513925003573
47.0,47.0,train,0.005554056431984,80.7438040250914,0.6371119783690157
48.0,48.0,train,0.0051230826996818924,67.98618816078277,0.6182386616661885
49.0,49.0,train,1.5772548383706067E-4,3.061561431319213,0.047490217874669435
50.0,50.0,train,0.005584544841710449,81.85870206703744,0.6383767049709917
51.0,51.0,train,0.0045668061178704925,52.949932024489925,0.5907669125795448
52.0,52.0,train,0.005152269070160154,70.04108485027486,0.6195785539209955
53.0,53.0,train,0.0021036820791416233,19.52172976358663,0.3993946002118196
54.0,54.0,train,0.004700312861229038,57.59821374164989,0.5977146124497217
55.0,55.0,train,0.004556556404854023,52.03784575193826,0.5902235843697663
56.0,56.0,train,0.007162968589312875,95.34655846746112,0.6936516587113137
57.0,57.0,train,0.0047318637353436456,58.07156174205532,0.5993221968628974
58.0,58.0,train,0.004754641765172473,59.02088265688175,0.6004748229459808
59.0,59.0,train,0.004095980120571705,40.915158717407486,0.5642253825626048
60.0,60.0,train,0.0035164889734646105,28.27578630292809,0.5264217689042425
61.0,61.0,train,0.005449650266291775,78.53629899717552,0.6327131500904116
62.0,62.0,train,0.006692685521471366,93.93922353849038,0.6790343901228488
63.0,63.0,train,0.004902870023908782,61.94036755276081,0.6078165340172695
65.0,65.0,train,0.0032838636184048878,23.49798526119129,0.5093347242902397
66.0,66.0,train,0.0030943067021913695,21.264617404595707,0.4944718377439602
67.0,67.0,train,0.005048130420893685,64.93259474281,0.614754104001281
68.0,68.0,train,0.004698611854587253,57.12865231595969,0.5976275759683076
69.0,69.0,train,0.0035801299386993522,29.344472998871407,0.5308910233581661
71.0,71.0,train,0.00424108646434574,45.47898176111192,0.5727651848254719
72.0,72.0,train,0.0038135021006694297,32.65262709320876,0.5465821544681035
73.0,73.0,train,0.0033412501603373233,24.497092057923826,0.5136635000955008
74.0,74.0,train,0.005304822476440667,74.76238338237735,0.6264316965508462
75.0,75.0,train,0.007435862135694971,98.26411956758685,0.7015389753007679
76.0,76.0,train,0.005498289881454775,79.08612363495885,0.6347756223524712
77.0,77.0,train,0.005350439084507634,75.2973875098537,0.6284332294190508
78.0,78.0,train,0.005273616363480786,73.70247082618172,0.6250499896858485
79.0,79.0,train,0.005265429254031131,73.17530160780647,0.624685796500064
81.0,81.0,train,0.005498833815514323,79.6360902493421,0.6347985559056617
82.0,82.0,train,0.004955749651533871,63.42174655179182,0.6103707760140982
83.0,83.0,train,0.008920404405834444,100.0,0.7382057823221841
86.0,86.0,train,0.004740506217015627,58.54520033306417,0.5997603104815545
87.0,87.0,train,0.0043078023668605605,48.03985582054215,0.5765802325909037
88.0,88.0,train,0.00392164389670655,37.68389805302042,0.5535027555976126
89.0,89.0,train,0.008438417895047212,99.10795778728846,0.7273298791163717
90.0,90.0,train,0.004099510596549563,41.32511856292958,0.5644372083419775
91.0,91.0,train,0.004833452565964133,59.5043198433611,0.6044121876624488
