x,y,species min
200.0,200.0,0.0045100288
201.0,201.0,0.015463097
202.0,202.0,1.0191807E-6
203.0,203.0,0.0011619536
204.0,204.0,1.2642228E-4
205.0,205.0,1.280337E-4
206.0,206.0,4.8220113E-6
207.0,207.0,4.1855418E-4
208.0,208.0,0.0059154443
209.0,209.0,0.019925408
210.0,210.0,4.4001962E-4
211.0,211.0,1.2558496E-4
212.0,212.0,0.04530101
213.0,213.0,5.4330565E-5
214.0,214.0,0.0021442645
215.0,215.0,1.6440643E-4
216.0,216.0,0.104443945
217.0,217.0,2.0433756E-6
218.0,218.0,6.159398E-5
219.0,219.0,0.0060979887
220.0,220.0,1.6741319E-4
221.0,221.0,3.2779157E-5
222.0,222.0,1.5234166E-4
223.0,223.0,3.1576242E-4
224.0,224.0,0.0018584845
225.0,225.0,2.3548095E-4
226.0,226.0,7.846532E-4
227.0,227.0,0.014088486
228.0,228.0,6.419371E-5
229.0,229.0,0.010478969
230.0,230.0,2.0411791E-5
231.0,231.0,2.8394043E-4
232.0,232.0,5.96524E-5
233.0,233.0,5.4585296E-5
234.0,234.0,7.1154705E-6
235.0,235.0,8.465411E-5
236.0,236.0,5.3998746E-4
237.0,237.0,3.293821E-4
238.0,238.0,0.1138239
239.0,239.0,6.8761525E-4
240.0,240.0,0.0026004878
241.0,241.0,3.9324554E-4
242.0,242.0,5.9091402E-5
243.0,243.0,8.5376535E-4
244.0,244.0,4.394136E-5
245.0,245.0,7.948947E-4
246.0,246.0,0.0044105104
247.0,247.0,0.0020115895
248.0,248.0,7.63737E-6
249.0,249.0,1.4129915E-6
250.0,250.0,7.44159E-6
251.0,251.0,0.0049965144
252.0,252.0,6.6933414E-4
253.0,253.0,0.015786191
254.0,254.0,1.7806092E-6
255.0,255.0,0.017092675
256.0,256.0,5.8188365E-5
257.0,257.0,1.3256629E-4
258.0,258.0,0.017902957
259.0,259.0,0.32192373
260.0,260.0,2.671122E-6
261.0,261.0,1.0973E-4
262.0,262.0,0.001928146
263.0,263.0,1.11263136E-4
264.0,264.0,7.5208786E-4
265.0,265.0,1.3830551E-5
266.0,266.0,2.946896E-6
267.0,267.0,0.013403974
268.0,268.0,0.116476744
269.0,269.0,2.64093E-6
270.0,270.0,8.239567E-5
271.0,271.0,0.010621429
272.0,272.0,2.4107721E-5
273.0,273.0,7.833857E-5
274.0,274.0,5.2921238E-5
275.0,275.0,3.892545E-5
276.0,276.0,3.33865E-5
277.0,277.0,0.55318284
278.0,278.0,0.00184217
279.0,279.0,3.1752123E-5
280.0,280.0,3.405978E-6
281.0,281.0,3.600779E-5
282.0,282.0,3.489818E-5
283.0,283.0,0.012641443
284.0,284.0,1.5477704E-5
285.0,285.0,0.03890073
286.0,286.0,0.0042900816
287.0,287.0,0.0039705876
288.0,288.0,0.0067126667
289.0,289.0,4.5344954E-5
290.0,290.0,2.48672E-4
291.0,291.0,0.1026461
292.0,292.0,0.4485799
293.0,293.0,0.002006606
294.0,294.0,3.1478822E-4
295.0,295.0,1.0288218E-5
296.0,296.0,7.179055E-5
297.0,297.0,0.02357076
298.0,298.0,3.1651134E-4
299.0,299.0,1.0433892E-4
300.0,300.0,1.8925539E-5
301.0,301.0,5.7034163E-6
302.0,302.0,2.552787E-4
303.0,303.0,9.060937E-5
304.0,304.0,4.3717787E-6
305.0,305.0,7.3554E-5
306.0,306.0,1.4710806E-4
307.0,307.0,1.9811845E-5
308.0,308.0,5.607501E-6
