Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,Forest_Productivity contribution,Forest_Type contribution,bio10_16 contribution,bio12_16 contribution,bio15_16 contribution,moose2015 contribution,red_deer2015 contribution,roe_deer2015 contribution,Forest_Productivity permutation importance,Forest_Type permutation importance,bio10_16 permutation importance,bio12_16 permutation importance,bio15_16 permutation importance,moose2015 permutation importance,red_deer2015 permutation importance,roe_deer2015 permutation importance,Training gain without Forest_Productivity,Training gain without Forest_Type,Training gain without bio10_16,Training gain without bio12_16,Training gain without bio15_16,Training gain without moose2015,Training gain without red_deer2015,Training gain without roe_deer2015,Training gain with only Forest_Productivity,Training gain with only Forest_Type,Training gain with only bio10_16,Training gain with only bio12_16,Training gain with only bio15_16,Training gain with only moose2015,Training gain with only red_deer2015,Training gain with only roe_deer2015,Test gain without Forest_Productivity,Test gain without Forest_Type,Test gain without bio10_16,Test gain without bio12_16,Test gain without bio15_16,Test gain without moose2015,Test gain without red_deer2015,Test gain without roe_deer2015,Test gain with only Forest_Productivity,Test gain with only Forest_Type,Test gain with only bio10_16,Test gain with only bio12_16,Test gain with only bio15_16,Test gain with only moose2015,Test gain with only red_deer2015,Test gain with only roe_deer2015,AUC without Forest_Productivity,AUC without Forest_Type,AUC without bio10_16,AUC without bio12_16,AUC without bio15_16,AUC without moose2015,AUC without red_deer2015,AUC without roe_deer2015,AUC with only Forest_Productivity,AUC with only Forest_Type,AUC with only bio10_16,AUC with only bio12_16,AUC with only bio15_16,AUC with only moose2015,AUC with only red_deer2015,AUC with only roe_deer2015,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,154,1.1386,1.3364,500,0.9016,39,1.0593,0.8701,0.0245,4237,4.3871,0.2562,30.6974,27.1274,16.9469,2.7557,3.6346,14.1945,1.2051,1.0023,33.0400,35.7409,3.5856,6.3101,10.6457,8.4702,1.1039,1.1367,0.9064,0.9945,1.1252,1.1008,1.0925,1.0889,0.0938,0.0441,0.3812,0.3833,0.3961,0.1489,0.2701,0.1815,0.9621,1.0562,0.9420,0.9729,1.0770,1.0718,1.0267,0.9846,0.1780,0.1001,0.2926,0.3766,0.2513,0.1707,0.3260,0.2419,0.8591,0.8701,0.8515,0.8501,0.8734,0.8689,0.8651,0.8605,0.6877,0.5832,0.7161,0.7361,0.7135,0.6524,0.7297,0.6933,7.2190,0.1567,1.0000,0.0279,0.6561,0.0000,0.0256,1.432E-5,5.0000,0.0935,0.4352,0.0130,0.0256,5.561E-12,10.0000,0.1651,0.3233,0.0455,0.1026,8.957E-15,1.7273,0.0406,0.5896,0.0000,0.0256,5.17E-7,16.1990,0.2486,0.2455,0.0974,0.1538,1.431E-18,23.1699,0.3127,0.1883,0.1883,0.2308,8.612E-21,16.0544,0.2467,0.2469,0.0909,0.1538,1.988E-18,20.3687,0.2905,0.2093,0.1429,0.2051,1.261E-19,13.7784,0.2145,0.2712,0.0779,0.1026,7.016E-19,5.2184,0.0966,0.4286,0.0130,0.0256,2.848E-12,10.0837,0.1660,0.3222,0.0455,0.1026,7.479E-15
species_1,154,1.1089,1.2901,500,0.8975,39,1.1645,0.8806,0.0208,4238,9.6271,0.3081,25.0345,23.4438,14.6355,2.4153,4.1911,20.3447,2.7996,1.1154,33.0821,34.8099,2.6353,3.4095,9.6133,12.5348,1.0412,1.1072,0.9326,0.9921,1.1024,1.0877,1.0671,1.0381,0.1495,0.0507,0.3420,0.3574,0.3538,0.1256,0.2618,0.1943,1.2728,1.1584,0.7856,0.9601,1.1631,1.0803,1.1222,1.1777,-0.0511,0.0777,0.4497,0.4705,0.4150,0.2478,0.3526,0.1999,0.8890,0.8808,0.8164,0.8433,0.8792,0.8690,0.8712,0.8842,0.5447,0.5699,0.7535,0.7574,0.7408,0.7296,0.7309,0.6845,7.2428,0.1608,1.0000,0.0288,0.6680,0.0065,0.0000,5.348E-6,5.0000,0.0974,0.4438,0.0260,0.0256,1.293E-11,10.0000,0.1685,0.3336,0.0390,0.1026,4.099E-14,0.8905,0.0267,0.6805,0.0000,0.0000,9.386E-6,16.7963,0.2502,0.2478,0.0974,0.1795,5.891E-17,24.7308,0.3275,0.1840,0.1818,0.2564,9.66E-20,15.3667,0.2306,0.2624,0.0779,0.1795,1.161E-15,19.1704,0.2771,0.2261,0.1234,0.2308,2.532E-16,14.7774,0.2222,0.2692,0.0779,0.1282,1.091E-17,6.2875,0.1164,0.4084,0.0260,0.0256,3.245E-13,10.2584,0.1715,0.3296,0.0390,0.1282,2.955E-13
species_2,154,1.1112,1.2885,500,0.8960,39,1.2035,0.8787,0.0282,4239,5.6903,0.2276,29.7776,27.3096,10.6895,2.5409,2.9319,20.8326,1.2521,0.8069,41.4452,36.1121,0.4785,2.3055,5.2250,12.3748,1.0628,1.1089,0.8891,0.9728,1.1107,1.0884,1.0777,1.0338,0.1267,0.0740,0.3679,0.3709,0.3230,0.1470,0.2527,0.1692,1.1816,1.2033,1.0073,1.1179,1.1971,1.1426,1.1071,1.2246,0.0601,-0.0189,0.3500,0.4385,0.5328,0.1682,0.3797,0.2973,0.8810,0.8793,0.8449,0.8653,0.8779,0.8682,0.8666,0.8811,0.6005,0.5318,0.7423,0.7584,0.7806,0.6642,0.7470,0.7347,7.2427,0.1604,1.0000,0.0263,0.6829,0.0065,0.0513,1.807E-4,5.0000,0.0932,0.4296,0.0195,0.0513,2.891E-11,10.0000,0.1759,0.3244,0.0455,0.0513,4.081E-17,0.5916,0.0191,0.7410,0.0000,0.0513,1.532E-3,16.7205,0.2599,0.2444,0.0974,0.1282,3.841E-20,23.0631,0.3243,0.1939,0.1948,0.1795,2.133E-23,15.8653,0.2506,0.2527,0.0844,0.1026,9.607E-21,24.3114,0.3312,0.1854,0.2013,0.1795,9.394E-25,16.7094,0.2597,0.2446,0.0974,0.1026,1.227E-21,5.5184,0.1050,0.4140,0.0195,0.0513,6.031E-12,9.6726,0.1699,0.3296,0.0455,0.0513,9.68E-17
species_3,155,1.1502,1.3361,500,0.9018,38,0.9321,0.8599,0.0287,4238,5.5598,0.2771,28.5801,27.3945,15.7866,1.8154,4.9153,15.6712,1.9359,0.5369,31.1761,36.4954,0.3522,5.8234,11.9828,11.6973,1.1108,1.1486,0.9429,1.0012,1.1453,1.1076,1.0978,1.1038,0.1100,0.0668,0.3572,0.4362,0.3893,0.1540,0.3006,0.2324,0.8640,0.9253,0.6895,0.8812,0.9343,0.9866,0.8925,0.8230,0.1270,0.0091,0.3975,0.0125,0.2405,0.1472,0.1865,0.0295,0.8528,0.8589,0.8263,0.8539,0.8597,0.8579,0.8513,0.8516,0.6427,0.5419,0.7426,0.7218,0.7147,0.6424,0.6599,0.6015,7.2002,0.1543,1.0000,0.0277,0.6350,0.0065,0.0526,3.167E-5,5.0000,0.0997,0.4162,0.0194,0.0789,1.368E-10,10.0000,0.1823,0.3197,0.0452,0.0789,9.459E-16,0.7930,0.0239,0.6600,0.0000,0.0526,9.21E-5,16.9417,0.2516,0.2400,0.0968,0.1579,1.79E-18,23.4940,0.3156,0.1871,0.1871,0.2368,4.317E-20,16.8163,0.2513,0.2412,0.0903,0.1579,2.362E-18,20.3370,0.2827,0.2105,0.1548,0.2105,1.016E-18,14.0454,0.2229,0.2692,0.0839,0.1053,1.765E-18,4.1172,0.0792,0.4450,0.0129,0.0789,1.766E-9,10.2768,0.1852,0.3160,0.0452,0.0789,5.136E-16
species_4,155,1.0818,1.2550,500,0.8938,38,1.2923,0.8938,0.0182,4240,4.4055,0.4484,29.1973,21.4143,21.0713,3.7236,4.2485,15.4911,1.6486,1.0840,33.3310,34.7807,0.3312,4.9238,12.6973,11.2035,1.0509,1.0776,0.8389,0.9528,1.0751,1.0480,1.0363,1.0192,0.0823,0.0446,0.3549,0.3531,0.3601,0.1281,0.2607,0.1959,1.1965,1.3007,1.1978,1.1530,1.2975,1.2785,1.2328,1.2391,0.2166,0.0998,0.3881,0.4775,0.3553,0.2443,0.3388,0.1943,0.8878,0.8954,0.8791,0.8741,0.8938,0.8909,0.8918,0.8937,0.7002,0.5828,0.7207,0.7656,0.7385,0.7210,0.7344,0.6593,7.2674,0.1648,1.0000,0.0279,0.6880,0.0000,0.0000,1.652E-5,5.0000,0.0955,0.4526,0.0323,0.0000,6.033E-12,10.0000,0.1754,0.3439,0.0581,0.0263,1.496E-16,2.5342,0.0526,0.5630,0.0000,0.0000,2.797E-8,16.4792,0.2430,0.2616,0.0968,0.1842,3.803E-15,24.2176,0.3153,0.1936,0.1935,0.1842,1.422E-22,18.7251,0.2627,0.2392,0.1097,0.1842,3.935E-17,25.5276,0.3249,0.1842,0.2194,0.1842,4.897E-24,10.9155,0.1881,0.3300,0.0645,0.0263,1.593E-17,2.5342,0.0526,0.5630,0.0000,0.0000,2.797E-8,10.3973,0.1810,0.3377,0.0581,0.0263,5.704E-17
species (average),154.4000,1.1181,1.3012,500.0000,0.8981,38.6000,1.1303,0.8766,0.0241,4238.4000,5.9340,0.3035,28.6574,25.3379,15.8260,2.6502,3.9843,17.3068,1.7683,0.9091,34.4149,35.5878,1.4766,4.5545,10.0328,11.2561,1.0739,1.1158,0.9020,0.9827,1.1117,1.0865,1.0743,1.0568,0.1125,0.0560,0.3606,0.3802,0.3645,0.1407,0.2692,0.1947,1.0954,1.1288,0.9244,1.0170,1.1338,1.1120,1.0763,1.0898,0.1061,0.0536,0.3756,0.3551,0.3590,0.1956,0.3167,0.1926,0.8739,0.8769,0.8436,0.8573,0.8768,0.8710,0.8692,0.8742,0.6352,0.5619,0.7350,0.7479,0.7376,0.6819,0.7204,0.6747,7.2344,0.1594,1.0000,0.0277,0.6660,0.0039,0.0259,0.0000,5.0000,0.0959,0.4355,0.0220,0.0363,0.0000,10.0000,0.1734,0.3290,0.0467,0.0723,0.0000,1.3073,0.0326,0.6468,0.0000,0.0259,0.0003,16.6273,0.2507,0.2479,0.0972,0.1607,0.0000,23.7351,0.3191,0.1894,0.1891,0.2175,0.0000,16.5656,0.2484,0.2485,0.0906,0.1556,0.0000,21.9430,0.3013,0.2031,0.1684,0.2020,0.0000,14.0452,0.2215,0.2768,0.0803,0.0930,0.0000,4.7351,0.0900,0.4518,0.0143,0.0363,0.0000,10.1378,0.1747,0.3270,0.0467,0.0775,0.0000
