X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.003678900381645335,95.89305171668602,0.8806351434196641
2.0,2.0,train,0.001889412976324529,85.11118796260105,0.7911895822476293
3.0,3.0,train,0.0015729499668032429,80.09136115508302,0.7592912059189538
4.0,4.0,train,0.0011262627254808094,72.04965439826118,0.6931206710559056
5.0,5.0,train,4.5671326637189246E-4,50.00120773575335,0.47805040824402717
7.0,7.0,train,3.6157841964602375E-4,42.5018406113342,0.4203268825431426
8.0,8.0,train,0.0033235131400111335,95.17360872564598,0.8695365294885046
9.0,9.0,train,0.001445998748639972,78.59868640016826,0.7435771977026483
10.0,10.0,train,9.26067687774144E-4,67.56750176776234,0.6499994358509877
11.0,11.0,train,1.406916160258121E-4,14.424149672728065,0.22005597207213945
13.0,13.0,train,0.004154890745608535,97.08759287138902,0.8928444453621447
14.0,14.0,train,0.0035155699737485883,95.52515992694799,0.8757784350332636
16.0,16.0,train,4.47192636021869E-4,49.316319701083664,0.4727966029974682
17.0,17.0,train,2.7747511850799694E-4,33.11689243354249,0.3575119718364539
18.0,18.0,train,2.1775544714892854E-4,25.30679728563307,0.3039542976045038
19.0,19.0,train,5.033782393844288E-4,53.40904295174971,0.5023577960705237
20.0,20.0,train,9.803626954617445E-5,7.493216580865195,0.1643003541501774
21.0,21.0,train,7.080550558539874E-5,3.664720328472132,0.12433829046922018
23.0,23.0,train,5.909546147878717E-4,57.76348372538761,0.5423554035942222
25.0,25.0,train,0.0012133845598100142,73.97525745701506,0.7087370860309079
27.0,27.0,train,4.4343881067466324E-4,49.12309795143583,0.4706959273428877
28.0,28.0,train,8.787403765781772E-4,66.55208336863097,0.6379733980632043
29.0,29.0,train,7.935449607151132E-5,4.606673924773692,0.1372897189342826
31.0,31.0,train,3.5427074093798437E-4,41.501211887186805,0.41536036050264546
33.0,33.0,train,9.683157704364267E-4,68.77034673149694,0.6600793041987689
34.0,34.0,train,0.0029345495047738757,92.95392733727738,0.8547557105085896
35.0,35.0,train,0.003060803779999461,93.55899168279466,0.8599075393637459
36.0,36.0,train,9.45235334221422E-5,6.7360039608702165,0.15935141933771177
37.0,37.0,train,1.3858314264179306E-4,14.020772989843685,0.21747531015219077
39.0,39.0,train,7.563499695783616E-4,63.5983267728389,0.6026678395791994
40.0,40.0,train,5.39459877671367E-4,55.21035175658121,0.519654320563384
41.0,41.0,train,8.011824604792613E-4,64.7892300192272,0.6163721814521494
42.0,42.0,train,0.0037631989216822554,96.26936509132958,0.8829961552907467
43.0,43.0,train,0.0014807597618696521,79.35138256079107,0.7480803090731685
44.0,44.0,train,7.405462715301865E-4,63.02344904917225,0.5976006019801621
45.0,45.0,train,6.914219934788444E-4,61.52694241286743,0.5809902380217675
47.0,47.0,train,1.1450208698555871E-4,10.364378135440273,0.18674243537760252
48.0,48.0,train,5.27822699184427E-4,54.74148301690128,0.5142086309685319
49.0,49.0,train,9.579597040805552E-5,7.008992744257573,0.16115085423677633
51.0,51.0,train,4.6175038257736907E-4,50.279033078447064,0.4807879252160185
52.0,52.0,train,0.001403619791765636,77.31327399444639,0.7378645940548881
53.0,53.0,train,2.7232816467224607E-4,32.1332590588163,0.3532228191579911
54.0,54.0,train,1.7329087706549056E-4,19.35744800690566,0.2578948411227827
56.0,56.0,train,0.002420793472026982,90.80578977518496,0.8291960268787207
57.0,57.0,train,0.002152995712439708,89.20391544234253,0.8119460344737762
58.0,58.0,train,0.0015763485905570234,80.28455102888718,0.7596854603629283
59.0,59.0,train,0.0015958351091085224,80.62064664225205,0.7619212780605719
61.0,61.0,train,0.0011746678553450586,73.06740387772845,0.7019979483069014
62.0,62.0,train,0.0012255964549827709,74.36021762791712,0.7107999383761265
63.0,63.0,train,4.253564295881452E-4,47.83777919084308,0.4603377243449531
65.0,65.0,train,0.004027325159262423,96.74361990579489,0.8898242449833621
66.0,66.0,train,0.0011436494431422692,72.50421848013576,0.6963695391608443
67.0,67.0,train,5.216655784727779E-4,54.414025368799834,0.5112771192208043
68.0,68.0,train,4.631048821865805E-4,50.372524221973805,0.4815191617521408
69.0,69.0,train,0.001590769088794699,80.56591097649367,0.7613440315537005
70.0,70.0,train,0.0013157075199333396,75.81045875193335,0.7251631943374389
6.0,6.0,test,4.22912738831884E-4,47.56966444570277,0.4589067167010741
12.0,12.0,test,0.0039662751241781105,96.57900755061819,0.8883177854348413
15.0,15.0,test,3.8665458357977576E-4,44.74662242275431,0.43674600880781794
22.0,22.0,test,4.219945938400916E-4,47.4854247647599,0.458367094315099
24.0,24.0,test,0.002507933254268004,90.96019527401998,0.8341464322309149
26.0,26.0,test,0.002369571736733446,90.54190409775356,0.8261457513624606
30.0,30.0,test,1.239493571219616E-4,11.92617071915178,0.19908267625719855
32.0,32.0,test,0.002275195346309658,90.04151517531069,0.8202305988403914
38.0,38.0,test,7.647161062947098E-7,8.66423630606765E-4,0.001531215206950545
46.0,46.0,test,3.2922681172069945E-4,38.60834950219882,0.3976746139344026
50.0,50.0,test,1.077944081153702E-4,9.214028739047137,0.177747310831343
55.0,55.0,test,0.0015942325121430696,80.60333205382405,0.7617389727110288
60.0,60.0,test,0.001180305611263072,73.33584932867103,0.7029986059471631
64.0,64.0,test,0.005407877606469216,99.12469939147724,0.9155759792218064
