Species ;Group
Anastrophyllum_donnianum;Bryophyte
Herbertus_stramineus;Bryophyte
Cetrelia_olivetorum;Lichen
Collema_curtisporum;Lichen
Collema_occultatum;Lichen
Gyalecta_flotowii;Lichen
Gyalecta_truncigena;Lichen
Gyalecta_ulmi;Lichen
Heterodermia_speciosa;Lichen
Menegazzia_subsimilis;Lichen
Menegazzia_terebrata;Lichen
Opegrapha_vermicellifera;Lichen
Pectenia_cyanoloma;Lichen
Phaeophyscia_kairamoi;Lichen
Physconia_detersa;Lichen
Ramalina_dilacerata;Lichen
Ramalina_sinensis;Lichen
Ramboldia_subcinnabarina;Lichen
Rinodina_disjuncta;Lichen
Schismatomma_graphidioides;Lichen
Staurolemma_omphalarioides;Lichen
Thelotrema_macrosporum;Lichen
Ajuga_reptans;Vascular
Arnica_montana;Vascular
Asperugo_procumbens;Vascular
Campanula_barbata;Vascular
Campanula_cervicaria;Vascular
Cinna_latifolia;Vascular
Crepis_praemorsa;Vascular
Cypripedium_calceolus;Vascular
Dactylorhiza_sambucina;Vascular
Epipogium_aphyllum;Vascular
Galium_sterneri;Vascular
Gentianella_campestris;Vascular
Hackelia_deflexa;Vascular
Lithospermum_officinale;Vascular
Malus_sylvestris;Vascular
Ophrys_insectifera;Vascular
Pseudorchis_albida;Vascular
Scorzonera_humilis;Vascular
Sorbus_lancifolia;Vascular
Sorbus_subpinnata;Vascular
Taxus_baccata;Vascular
Thalictrum_minus;Vascular
Thalictrum_simplex;Vascular
Ulmus_glabra;Vascular
Vicia_cassubica;Vascular
