"gbifID" "abstract" "accessRights" "accrualMethod" "accrualPeriodicity" "accrualPolicy" "alternative" "audience" "available" "bibliographicCitation" "conformsTo" "contributor" "coverage" "created" "creator" "date" "dateAccepted" "dateCopyrighted" "dateSubmitted" "description" "educationLevel" "extent" "format" "hasFormat" "hasPart" "hasVersion" "identifier" "instructionalMethod" "isFormatOf" "isPartOf" "isReferencedBy" "isReplacedBy" "isRequiredBy" "isVersionOf" "issued" "language" "license" "mediator" "medium" "modified" "provenance" "publisher" "references" "relation" "replaces" "requires" "rights" "rightsHolder" "source" "spatial" "subject" "tableOfContents" "temporal" "title" "type" "valid" "institutionID" "collectionID" "datasetID" "institutionCode" "collectionCode" "datasetName" "ownerInstitutionCode" "basisOfRecord" "informationWithheld" "dataGeneralizations" "dynamicProperties" "occurrenceID" "catalogNumber" "recordNumber" "recordedBy" "individualCount" "organismQuantity" "organismQuantityType" "sex" "lifeStage" "reproductiveCondition" "behavior" "establishmentMeans" "occurrenceStatus" "preparations" "disposition" "associatedReferences" "associatedSequences" "associatedTaxa" "otherCatalogNumbers" "occurrenceRemarks" "organismID" "organismName" "organismScope" "associatedOccurrences" "associatedOrganisms" "previousIdentifications" "organismRemarks" "materialSampleID" "eventID" "parentEventID" "fieldNumber" "eventDate" "eventTime" "startDayOfYear" "endDayOfYear" "year" "month" "day" "verbatimEventDate" "habitat" "samplingProtocol" "samplingEffort" "sampleSizeValue" "sampleSizeUnit" "fieldNotes" "eventRemarks" "locationID" "higherGeographyID" "higherGeography" "continent" "waterBody" "islandGroup" "island" "countryCode" "stateProvince" "county" "municipality" "locality" "verbatimLocality" "verbatimElevation" "verbatimDepth" "minimumDistanceAboveSurfaceInMeters" "maximumDistanceAboveSurfaceInMeters" "locationAccordingTo" "locationRemarks" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "coordinatePrecision" "pointRadiusSpatialFit" "verbatimCoordinateSystem" "verbatimSRS" "footprintWKT" "footprintSRS" "footprintSpatialFit" "georeferencedBy" "georeferencedDate" "georeferenceProtocol" "georeferenceSources" "georeferenceVerificationStatus" "georeferenceRemarks" "geologicalContextID" "earliestEonOrLowestEonothem" "latestEonOrHighestEonothem" "earliestEraOrLowestErathem" "latestEraOrHighestErathem" "earliestPeriodOrLowestSystem" "latestPeriodOrHighestSystem" "earliestEpochOrLowestSeries" "latestEpochOrHighestSeries" "earliestAgeOrLowestStage" "latestAgeOrHighestStage" "lowestBiostratigraphicZone" "highestBiostratigraphicZone" "lithostratigraphicTerms" "group" "formation" "member" "bed" "identificationID" "identificationQualifier" "typeStatus" "identifiedBy" "dateIdentified" "identificationReferences" "identificationVerificationStatus" "identificationRemarks" "taxonID" "scientificNameID" "acceptedNameUsageID" "parentNameUsageID" "originalNameUsageID" "nameAccordingToID" "namePublishedInID" "taxonConceptID" "scientificName" "acceptedNameUsage" "parentNameUsage" "originalNameUsage" "nameAccordingTo" "namePublishedIn" "namePublishedInYear" "higherClassification" "kingdom" "phylum" "class" "order" "family" "genus" "subgenus" "specificEpithet" "infraspecificEpithet" "taxonRank" "verbatimTaxonRank" "vernacularName" "nomenclaturalCode" "taxonomicStatus" "nomenclaturalStatus" "taxonRemarks" "datasetKey" "publishingCountry" "lastInterpreted" "elevation" "elevationAccuracy" "depth" "depthAccuracy" "distanceAboveSurface" "distanceAboveSurfaceAccuracy" "issue" "mediaType" "hasCoordinate" "hasGeospatialIssues" "taxonKey" "acceptedTaxonKey" "kingdomKey" "phylumKey" "classKey" "orderKey" "familyKey" "genusKey" "subgenusKey" "speciesKey" "species" "genericName" "acceptedScientificName" "typifiedName" "protocol" "lastParsed" "lastCrawled" "repatriated" "coords.x1" "coords.x2" "optional"
"1" 1933317786 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:uuid:c815c359-c122-46a9-bc70-48216e19ac90" "20465817" "None" "Anders Breili" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-10-10T00:00:00Z" NA NA NA 2018 10 10 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Sogn og Fjordane" "" "Norddalen, Bremanger, Sf" "" "None" "None" NA NA NA NA 61.710541 5.039315 10 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-03T07:55:27.288Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2018-11-03T07:55:27.282Z" "2018-11-18T22:32:44.401Z" "true" 290676.507514418 6848309.33679581 TRUE
"2" 1933315222 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "HUMAN_OBSERVATION" NA NA "" "urn:uuid:c5ce5565-94ca-41c2-bd76-2e97108d12dd" "20465797" "None" "Anders Breili" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-10-10T00:00:00Z" NA NA NA 2018 10 10 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Sogn og Fjordane" "" "Norddalen, Bremanger, Sf" "" "None" "None" NA NA NA NA 61.71049 5.037034 10 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-03T07:54:54.696Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED" "STILLIMAGE" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2018-11-03T07:54:54.685Z" "2018-11-18T22:31:41.904Z" "true" 290555.715852136 6848311.0085271 TRUE
"3" 1933138822 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "HUMAN_OBSERVATION" NA NA "" "urn:uuid:2ffbcfe9-0c48-4492-b233-bc5c86067545" "20465889" "None" "Anders Breili" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-10-10T00:00:00Z" NA NA NA 2018 10 10 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Sogn og Fjordane" "" "Langevatnet, SV for, Bremanger, Sf" "" "None" "None" NA NA NA NA 61.822658 5.425788 10 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-03T07:18:51.046Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2018-11-03T07:18:51.014Z" "2018-11-18T21:21:34.222Z" "true" 311772.902554927 6859601.96267994 TRUE
"4" 1933111693 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:uuid:19cd1f33-dacf-43c1-8099-26b31b8d5ec2" "20465805" "None" "Anders Breili" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-10-10T00:00:00Z" NA NA NA 2018 10 10 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Sogn og Fjordane" "" "Norddalen, Bremanger, Sf" "" "None" "None" NA NA NA NA 61.710452 5.038309 10 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-03T07:11:50.470Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED" "STILLIMAGE" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2018-11-03T07:11:50.445Z" "2018-11-18T21:11:34.912Z" "true" 290622.783023792 6848302.67467054 TRUE
"5" 1933083445 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "HUMAN_OBSERVATION" NA NA "" "urn:uuid:06784323-66c9-4f0e-aae0-d79a49939162" "20465884" "None" "Anders Breili" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-10-10T00:00:00Z" NA NA NA 2018 10 10 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Sogn og Fjordane" "" "Langevatnet, SV for, Bremanger, Sf" "" "None" "None" NA NA NA NA 61.8215 5.422878 10 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-03T07:05:25.848Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2018-11-03T07:05:25.744Z" "2018-11-18T21:02:46.513Z" "true" 311612.664155018 6859481.53833919 TRUE
"7" 1890269680 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "nbf" "so2-mosses" "" "" "HUMAN_OBSERVATION" NA NA "" "urn:uuid:240ea49b-8779-4154-96fe-334cc1c660d5" "20003781" "None" "Ove Sander Førland" 0 NA NA NA NA NA NA NA NA "None" NA NA "None" NA "" "None" "None" NA NA NA NA NA NA NA NA NA "" "2018-07-26T00:00:00Z" NA NA NA 2018 7 26 "" "" "None" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Rogaland" "Rogaland" "" "Krossfjellet, Strand, Ro" "" "None" "None" NA NA NA NA 59.05397 6.185763 5 NA NA "None" "None" NA NA NA NA NA NA NA NA "None" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "None" "" "" "" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "b124e1e0-4755-430f-9eab-894f25a9b59c" "NO" "2018-11-18T21:16:07.869Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;MULTIMEDIA_DATE_INVALID;COORDINATE_ROUNDED" "STILLIMAGE" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2018-11-18T21:16:07.823Z" "2018-11-18T21:16:07.818Z" "true" 338599.245519515 6549462.25625976 TRUE
"8" 1837443009 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:68631/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2017-01-10T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:68631/1" "68631/1" "TH10-M096" "Torbjørn Høitomt, Kjell Magne Olsen" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2010-09-10T00:00:00Z" NA NA NA 2010 9 10 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Akershus" "Skedsmo" "" "Isakbekken, SV for" "" "" "" NA NA NA NA 59.9494 11.0827 NA NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Torbjørn Høitomt" "2010-09-10T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-07T16:46:48.515Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2018-04-06T08:29:46.770Z" "2018-11-25T14:56:37.628Z" "true" 616332.762771191 6647606.45189826 TRUE
"9" 1837442620 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:60959/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2018-02-28T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:60959/1" "60959/1" "" "Perry G. Larsen, Dag Holtan" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2010-06-23T00:00:00Z" NA NA NA 2010 6 23 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Møre og Romsdal" "Sykkylven" "" "Reindalen" "" "" "" NA NA NA NA 62.28333 6.63573 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Perry G. Larsen, Dag Holtan" "2010-06-23T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-07T16:43:23.762Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2018-04-06T08:29:40.047Z" "2018-11-25T14:56:31.703Z" "true" 377337.21618715 6907984.90872917 TRUE
"10" 1837442603 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:O:B:67566/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2016-06-20T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "O" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:O:B:67566/1" "67566/1" "36175" "Kåre Arnstein Lye" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2012-09-12T00:00:00Z" NA NA NA 2012 9 12 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Østfold" "Spydeberg" "" "Spydeberg k.: Dalen, ved Glomma 100 m nord for odden" "" "" "" NA NA NA NA 59.5897 11.0907 NA NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kåre Arnstein Lye" "2012-09-12T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "68a0650f-96ae-499c-8b2a-a4f92c01e4b3" "NO" "2018-07-11T17:44:08.771Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2018-07-11T17:44:08.750Z" "2018-11-25T14:56:31.231Z" "true" 618042.568571006 6607576.12783959 TRUE
"11" 1833736038 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "566614" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "BioFokus" "BioFokus" "" "" "HUMAN_OBSERVATION" NA NA "" "566614" "566614" "" "Jansson, Ulrika" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "793" "2017-09-19T00:00:00Z" NA NA NA 2017 9 19 "" "" "" NA NA NA NA "" NA NA "" "EUROPE" NA NA NA "NO" "Akershus" "Nes (Akershus)" "" "Korsmo N" "" "" "" NA NA NA NA 60.103659 11.404573 NA 10 NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Jansson, Ulrika" "2017-09-19T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "2e4cc37b-302e-4f1b-bbbb-1f674ff90e14" "NO" "2018-07-07T18:00:01Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2018-03-09T09:59:23.766Z" "2018-11-25T14:38:49.078Z" "true" 633681.968130604 6665387.96010871 TRUE
