x,y,species logistic values
1.0,1.0,1.7097314E-8
2.0,2.0,9.4017075E-8
3.0,3.0,1.4619067E-8
4.0,4.0,1.0377113E-5
5.0,5.0,0.0070418487
6.0,6.0,2.9262723E-31
7.0,7.0,0.016681433
8.0,8.0,0.0033645467
9.0,9.0,1.9217448E-6
10.0,10.0,3.5965492E-10
11.0,11.0,0.002033184
12.0,12.0,5.723449E-7
13.0,13.0,6.047838E-4
14.0,14.0,2.286898E-10
15.0,15.0,2.2751245E-13
16.0,16.0,1.4819162E-11
17.0,17.0,9.205583E-7
18.0,18.0,3.3165854E-8
19.0,19.0,7.268931E-8
20.0,20.0,1.0850981E-9
21.0,21.0,6.4175816E-7
22.0,22.0,2.2765716E-6
23.0,23.0,3.6077168E-12
24.0,24.0,1.1517869E-8
25.0,25.0,9.588858E-5
26.0,26.0,7.419027E-4
27.0,27.0,7.607762E-8
28.0,28.0,4.995608E-9
29.0,29.0,2.408137E-9
30.0,30.0,1.5354415E-8
31.0,31.0,3.8313814E-8
32.0,32.0,1.0821536E-23
33.0,33.0,1.7333448E-16
34.0,34.0,3.757652E-5
35.0,35.0,4.449416E-6
36.0,36.0,4.3811752E-8
37.0,37.0,1.4376466E-28
38.0,38.0,1.8195467E-6
39.0,39.0,1.2429809E-11
40.0,40.0,2.0178788E-5
41.0,41.0,6.314962E-5
42.0,42.0,3.2629703E-6
43.0,43.0,2.7432479E-10
44.0,44.0,1.2686537E-4
45.0,45.0,1.4372607E-8
46.0,46.0,1.03071514E-4
47.0,47.0,2.0999976E-11
48.0,48.0,2.9581802E-6
49.0,49.0,2.360835E-14
50.0,50.0,7.17499E-7
51.0,51.0,8.143041E-18
52.0,52.0,4.0969655E-16
53.0,53.0,1.3022557E-12
54.0,54.0,0.0
55.0,55.0,2.2457051E-8
56.0,56.0,5.904492E-7
57.0,57.0,0.0
58.0,58.0,2.0090345E-6
59.0,59.0,5.7618593E-10
60.0,60.0,7.8254105E-21
61.0,61.0,0.0
62.0,62.0,3.0594354E-8
63.0,63.0,4.792356E-18
64.0,64.0,4.013858E-7
65.0,65.0,2.111151E-8
66.0,66.0,1.4446267E-25
67.0,67.0,2.1071397E-5
68.0,68.0,2.0315449E-11
69.0,69.0,2.84152E-8
70.0,70.0,4.3076287E-7
71.0,71.0,4.2344773E-8
72.0,72.0,1.6614015E-7
73.0,73.0,4.9580205E-12
74.0,74.0,4.5120103E-15
75.0,75.0,2.026592E-7
76.0,76.0,0.0022596705
77.0,77.0,1.7917616E-10
78.0,78.0,2.5914417E-7
79.0,79.0,3.9118788E-8
80.0,80.0,0.0017207143
81.0,81.0,5.380263E-9
82.0,82.0,1.3024353E-5
83.0,83.0,4.2740362E-9
84.0,84.0,2.8151877E-8
85.0,85.0,1.2629307E-28
86.0,86.0,2.3174098E-6
87.0,87.0,1.335138E-7
88.0,88.0,1.4400651E-12
89.0,89.0,5.692257E-6
90.0,90.0,9.192697E-11
91.0,91.0,3.0310208E-5
92.0,92.0,4.006565E-4
93.0,93.0,2.0369876E-15
94.0,94.0,4.4611536E-22
95.0,95.0,2.8437899E-12
96.0,96.0,0.0
97.0,97.0,3.7105683E-12
98.0,98.0,8.541946E-9
99.0,99.0,5.8545115E-8
100.0,100.0,8.185648E-11
101.0,101.0,6.216374E-14
102.0,102.0,2.356185E-6
103.0,103.0,5.811164E-34
104.0,104.0,1.0556521E-10
105.0,105.0,1.8629416E-11
106.0,106.0,3.135871E-10
107.0,107.0,3.779053E-15
