Predictor variable,Categorical,Sample average
Forest_Productivity,true,13.0
Forest_Type,true,31.0
bio10_16,false,137.83343887329102
bio12_16,false,914.3179117838541
bio15_16,false,26.66574509938558
moose2015,false,43.94663408067491
red_deer2015,false,3.47319812907113
roe_deer2015,false,24.59911346435547
