Predictor variable,Categorical,Sample average
Forest_Productivity,true,18.0
Forest_Type,true,31.0
bio10_16,false,126.53151921942683
bio12_16,false,1590.030373148399
bio15_16,false,30.017877503196793
moose2015,false,10.076159628311006
red_deer2015,false,61.13935805075239
roe_deer2015,false,14.246628173507085
