"","variables","corTest","AUCtest","species","method","repid"
"bio10_163","bio10_16",0.9267,0.5976,"Ajuga_reptans","glm",4
"bio12_163","bio12_16",0.0093,0.0036,"Ajuga_reptans","glm",4
"Forest_Type3","Forest_Type",0.0324,0.0078,"Ajuga_reptans","glm",4
"Forest_Productivity3","Forest_Productivity",0.184,0.1066,"Ajuga_reptans","glm",4
"SoilpH3","SoilpH",0.01,0.0048,"Ajuga_reptans","glm",4
"roe_deer20154","roe_deer2015",0.0059,0.001,"Ajuga_reptans","glm",5
"red_deer20154","red_deer2015",0.0028,0.008,"Ajuga_reptans","glm",5
"moose20154","moose2015",0.2611,0.0662,"Ajuga_reptans","glm",5
"bio10_164","bio10_16",0.691,0.6662,"Ajuga_reptans","glm",5
"bio12_164","bio12_16",1e-04,6e-04,"Ajuga_reptans","glm",5
"Forest_Type4","Forest_Type",0.0241,0.0044,"Ajuga_reptans","glm",5
"Forest_Productivity4","Forest_Productivity",0.3549,0.0468,"Ajuga_reptans","glm",5
"SoilpH4","SoilpH",0,0.0016,"Ajuga_reptans","glm",5
"roe_deer20155","roe_deer2015",0.1631,0.065,"Ajuga_reptans","gam",1
"red_deer20155","red_deer2015",0.2247,0.0044,"Ajuga_reptans","gam",1
"moose20155","moose2015",0.2267,0.0784,"Ajuga_reptans","gam",1
"bio10_165","bio10_16",0.6837,0.25,"Ajuga_reptans","gam",1
"bio12_165","bio12_16",0.4359,0.4242,"Ajuga_reptans","gam",1
"Forest_Type5","Forest_Type",0.2301,0.0382,"Ajuga_reptans","gam",1
"Forest_Productivity5","Forest_Productivity",0.0934,0.0378,"Ajuga_reptans","gam",1
"SoilpH5","SoilpH",0.1153,0.0266,"Ajuga_reptans","gam",1
"roe_deer20156","roe_deer2015",0.4127,0.051,"Ajuga_reptans","gam",2
"red_deer20156","red_deer2015",0.1711,0.0218,"Ajuga_reptans","gam",2
"moose20156","moose2015",0.3818,0.0268,"Ajuga_reptans","gam",2
"bio10_166","bio10_16",0.3701,0.2652,"Ajuga_reptans","gam",2
"bio12_166","bio12_16",0.6219,0.2226,"Ajuga_reptans","gam",2
"Forest_Type6","Forest_Type",0.147,0.0156,"Ajuga_reptans","gam",2
"Forest_Productivity6","Forest_Productivity",0.1353,0.0216,"Ajuga_reptans","gam",2
"SoilpH6","SoilpH",0.172,0.0038,"Ajuga_reptans","gam",2
"roe_deer20157","roe_deer2015",0.0926,0.0176,"Ajuga_reptans","gam",3
"red_deer20157","red_deer2015",0.5141,0.0154,"Ajuga_reptans","gam",3
"moose20157","moose2015",0.1923,0.0348,"Ajuga_reptans","gam",3
"bio10_167","bio10_16",0.8122,0.4126,"Ajuga_reptans","gam",3
"bio12_167","bio12_16",0.5414,0.1276,"Ajuga_reptans","gam",3
"Forest_Type7","Forest_Type",0.0703,0.039,"Ajuga_reptans","gam",3
"Forest_Productivity7","Forest_Productivity",0.0278,0.011,"Ajuga_reptans","gam",3
"SoilpH7","SoilpH",0.1232,0.0192,"Ajuga_reptans","gam",3
