"","bio10_16","bio12_16","Forest_Productivity","Forest_Type","moose2015","red_deer2015","roe_deer2015","SoilpH"
"Ajuga_reptans","0.501 +/- 0.009","0.137 +/- 0.006","0.184 +/- 0.004","0.053 +/- 0.002","0.159 +/- 0.004","0.105 +/- 0.005","0.133 +/- 0.005","0.054 +/- 0.002"
"Anastrophyllum_donnianum","0.061 +/- 0.003","0.398 +/- 0.009","0.059 +/- 0.003","0.034 +/- 0.001","0.232 +/- 0.011","0.225 +/- 0.007","0.074 +/- 0.005","0.02 +/- 0.001"
"Arnica_montana","0.538 +/- 0.006","0.159 +/- 0.005","0.106 +/- 0.001","0.057 +/- 0.002","0.064 +/- 0.002","0.038 +/- 0.002","0.042 +/- 0.001","0.012 +/- 0"
"Asperugo_procumbens","0.168 +/- 0.004","0.193 +/- 0.005","0.058 +/- 0.002","0.023 +/- 0.001","0.155 +/- 0.005","0.093 +/- 0.004","0.021 +/- 0.001","0.623 +/- 0.007"
"Campanula_barbata","0.275 +/- 0.006","0.186 +/- 0.006","0.051 +/- 0.002","0.018 +/- 0.001","0.613 +/- 0.006","0.03 +/- 0.001","0.106 +/- 0.003","0.033 +/- 0.001"
"Campanula_cervicaria","0.694 +/- 0.007","0.134 +/- 0.003","0.048 +/- 0.001","0.009 +/- 0","0.046 +/- 0.001","0.062 +/- 0.002","0.038 +/- 0.001","0.077 +/- 0.001"
"Cetrelia_olivetorum","0.288 +/- 0.006","0.217 +/- 0.005","0.052 +/- 0.001","0.027 +/- 0.001","0.043 +/- 0.002","0.117 +/- 0.002","0.1 +/- 0.003","0.337 +/- 0.007"
"Cinna_latifolia","0.324 +/- 0.004","0.294 +/- 0.003","0.212 +/- 0.004","0.013 +/- 0","0.023 +/- 0.001","0.03 +/- 0.001","0.092 +/- 0.002","0.026 +/- 0.001"
"Collema_curtisporum","0.025 +/- 0.001","0.187 +/- 0.006","0.053 +/- 0.002","0.602 +/- 0.011","0.008 +/- 0","0.032 +/- 0.002","0.073 +/- 0.004","0.193 +/- 0.006"
"Collema_occultatum","0.078 +/- 0.003","0.19 +/- 0.008","0.209 +/- 0.004","0.076 +/- 0.004","0.216 +/- 0.006","0.257 +/- 0.006","0.046 +/- 0.002","0.375 +/- 0.007"
"Crepis_praemorsa","0.335 +/- 0.007","0.164 +/- 0.004","0.164 +/- 0.004","0.033 +/- 0.002","0.067 +/- 0.002","0.062 +/- 0.003","0.102 +/- 0.003","0.115 +/- 0.002"
"Cypripedium_calceolus","0.046 +/- 0.001","0.176 +/- 0.006","0.289 +/- 0.003","0.022 +/- 0.001","0.129 +/- 0.002","0.083 +/- 0.002","0.112 +/- 0.004","0.463 +/- 0.005"
